Terrible~ | TwistedSnakes
Either you run the day or the day runs you. | Jim Rohn
I'm a great believer in luck, and I find the harder I work, the more I have of it. | Thomas Jefferson
Setting goals is the first step in turning the invisible into the visible. | Tony Robbins
Don’t let yesterday take up too much of today. | Will Rogers
You learn more from failure than from success. Don’t let it stop you. Failure builds character. | John Doe
Spread love everywhere you go. Let no one ever come without leaving happier. | Mother Teresa
The most important thing is to enjoy your life—to be happy—it’s all that matters. | Steve Jobs
I can accept failure, everyone fails at something. But I can’t accept not trying. | Michael Jordan
If you can do what you do best and be happy, you are further along in life than most people. | Leonardo DiCaprio
The more you know who you are, and what you want, the less you let things upset you. | Stephanie Perkins
